CountryCode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
DOM,Dominican Republic,,,,3.1,3.5,3.3,2.9,3.0,2.8,3.0,3.0,3.0,3.0,2.59,32.0,29.0,32.0
DZA,Algeria,,,,,,2.6,2.7,2.8,3.1,3.0,3.2,2.8,2.9,2.9,34.0,36.0,36.0
ECU,Ecuador,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2.0,2.2,2.5,2.65,32.0,35.0,33.0
EGY,Egypt,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32.0,32.0,37.0
ERI,Eritrea,,,,,,,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25.0,20.0,18.0
ESP,Spain,6.1,6.6,7.0,7.0,7.1,6.9,7.1,7.0,6.8,6.7,6.5,6.1,6.1,6.23,65.0,59.0,60.0
EST,Estonia,5.7,5.7,5.7,5.6,5.6,5.5,6.0,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64.0,68.0,69.0
ETH,Ethiopia,,,3.2,,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33.0,33.0,33.0
FIN,Finland,9.6,9.8,10.0,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9.0,8.9,9.2,9.4,90.0,89.0,89.0
FJI,Fiji,,,,,,,,4.0,,,,,,,,,
FRA,France,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71.0,71.0,69.0
GAB,Gabon,,,,,,,3.3,2.9,3.0,3.3,3.1,2.9,2.8,2.98,35.0,34.0,37.0
GBR,United Kingdom,8.7,8.6,8.7,8.3,8.7,8.7,8.6,8.6,8.6,8.4,7.7,7.7,7.6,7.78,74.0,76.0,78.0
GEO,Georgia,,2.3,,,2.4,1.8,2.0,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52.0,49.0,52.0
GHA,Ghana,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45.0,46.0,48.0
GIN,Guinea,,,,,,,,,1.9,1.9,1.6,1.8,2.0,2.11,24.0,24.0,25.0
GMB,Gambia,,,,,,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34.0,28.0,29.0
GNB,Guinea-Bissau,,,,,,,,,,2.2,1.9,1.9,2.1,2.2,25.0,19.0,19.0
GNQ,Equatorial Guinea,,,,,,,,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20.0,19.0,
GRC,Greece,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36.0,40.0,43.0
GRD,Grenada,,,,,,,,,3.5,3.4,,,,,,,
GTM,Guatemala,3.1,3.2,,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33.0,29.0,32.0
GUY,Guyana,,,,,,,,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28.0,27.0,30.0
HND,Honduras,1.7,1.8,,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28.0,26.0,29.0
HRV,Croatia,,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,46.0,48.0,48.0
HTI,Haiti,,,,,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19.0,19.0,19.0
HUN,Hungary,5,5.2,5.2,5.3,4.9,4.8,4.8,5.0,5.2,5.3,5.1,5.1,4.7,4.56,55.0,54.0,54.0
IDN,Indonesia,2,1.7,1.7,1.9,1.9,1.9,2.0,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32.0,32.0,34.0
IND,India,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36.0,36.0,38.0
IRL,Ireland,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8.0,8.0,7.54,69.0,72.0,74.0
IRN,"Iran, Islamic Republic of",,,,,,3.0,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28.0,25.0,27.0
IRQ,Iraq,,,,,,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18.0,16.0,16.0
ISL,Iceland,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82.0,78.0,79.0
ISR,Israel,7.1,6.8,6.6,7.6,7.3,7.0,6.4,6.3,5.9,6.1,6.0,6.1,6.1,5.81,60.0,61.0,60.0
ITA,Italy,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5.0,4.9,5.2,4.8,4.3,3.9,3.91,42.0,43.0,43.0
JAM,Jamaica,3.8,3.8,,,4.0,3.8,3.3,3.6,3.7,3.3,3.1,3.0,3.3,3.34,38.0,38.0,38.0
JOR,Jordan,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5.0,4.7,4.49,48.0,45.0,49.0
JPN,Japan,5.8,6.0,6.4,7.1,7.1,7.0,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74.0,74.0,76.0
KAZ,Kazakhstan,,2.3,3.0,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28.0,26.0,29.0
KEN,Kenya,2.5,2.0,2.1,2.0,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27.0,27.0,25.0
KGZ,Kyrgyzstan,2.2,,,,,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2.0,2.12,24.0,24.0,27.0
KHM,Cambodia,,,,,,,,2.3,2.1,2.0,1.8,2.0,2.1,2.11,22.0,20.0,21.0
KIR,Kiribati,,,,,,,,,,3.3,3.1,2.8,3.2,3.08,,,
KOR,"Korea, Republic of",4.2,3.8,4.0,4.2,4.5,4.3,4.5,5.0,5.1,5.1,5.6,5.5,5.4,5.36,56.0,55.0,55.0
KWT,Kuwait,,,,,,5.3,4.6,4.7,4.8,4.3,4.3,4.1,4.5,4.62,44.0,43.0,44.0
LAO,Lao People's Democratic Republic,,,,,,,,3.3,2.6,1.9,2.0,2.0,2.1,2.21,21.0,26.0,25.0
LBN,Lebanon,,,,,,3.0,2.7,3.1,3.6,3.0,3.0,2.5,2.5,2.49,30.0,28.0,27.0
LBR,Liberia,,,,,,,,2.2,,2.1,2.4,3.1,3.3,3.19,41.0,38.0,37.0
