##,Region,Country,Regulars,Insurgents,Outcome,Start Date,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2006,2007,2011,2012
x,Asia,Uzbekistan,Uzbekistan,Islamist Movement of Uzbekistan,Ongoing,1/1/91,,,"8,036",,,,,,,,,,,,,,,,,
x,Europe,Bosnia and Herzegovina,Bosnia,Republik Srpska (Serbs),Draw,6/6/92,,,,938,,,,,,,,,,,,,,,,
x,Europe,Croatia,Croatia,Republic of Serbian Krajina,Incumbent Won,4/1/90,,"1,948",,,,,,,,,,,,,,,,,,
x,Europe,Greece,Greece,Revolutionary Struggle,Ongoing,1/1/03,,,,,,,,,,,,,,,"3,653",,,,,
x,Europe,Ireland,Ireland,Continuity Irish Republican Army,Ongoing,1/1/94,,,,,,"6,940",,,,,,,,,,,,,,
x,Europe,Kosovo,Serbia,KLA,Insurgent Won,2/1/96,,,,,,,,"1,225",,,,,,,,,,,,
x,Europe,Republic of Moldova,Republic of Moldova,Dniestr Separatists,Insurgent Won,9/1/90,,689,,,,,,,,,,,,,,,,,,
x,Europe,Slovenia,Yugoslavia,Slovenian Nationalists/Separatists,Insurgent Won,6/27/91,,,10,,,,,,,,,,,,,,,,,
x,Latin America,Colombia,Colombia,United Self-Defense Forces of Columbia,Incumbent Won,4/1/97,,,,,,,,,"3,298",,,,,,,,,,,
x,Latin America,Panama,USA,Panama (Operation Just Cause),Incumbent Won,12/20/89,4,,,,,,,,,,,,,,,,,,,
x,Middle East/North Africa,Algeria,Algeria,GSPC/Al Qaeda in the Islamic Maghreb,Ongoing,1/1/98,,,,,,,,,,"5,479",,,,,,,,,,
x,Middle East/North Africa,Algeria,Algeria,"MIA/FIS/AIS, GIA",Incumbent Won,1/1/92,,,,"3,684",,,,,,,,,,,,,,,,
x,Middle East/North Africa,Iran (Islamic Republic of),Iran (Islamic Republic of),PRMI/Jundallah (Baluch),Ongoing,1/1/03,,,,,,,,,,,,,,,"3,653",,,,,
