CountryCode,CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABW,Aruba,65.5693658536586,65.98802439024391,66.3655365853659,66.7139756097561,67.0442926829268,67.369756097561,67.699,68.0346829268293,68.37714634146339,68.72841463414639,69.08614634146339,69.4460975609756,69.79865853658539,70.1396585365854,70.4652926829268,70.7778048780488,71.0808292682927,71.3777073170732,71.66978048780491,71.9528536585366,72.2201463414634,72.46234146341459,72.6731951219512,72.8490243902439,72.989756097561,73.09797560975609,73.17936585365851,73.2427073170732,73.296243902439,73.34448780487809,73.38997560975609,73.4331219512195,73.471756097561,73.5053170731707,73.53575609756099,73.56360975609759,73.5894390243902,73.6148048780488,73.6422926829268,73.6753902439025,73.72060975609759,73.78290243902441,73.865243902439,73.9685609756098,74.0908536585366,74.2280731707317,74.3761951219512,74.52675609756099,74.6757317073171,74.8181463414634,74.95353658536591,75.0813902439024,75.205756097561,75.32865853658541
AFG,Afghanistan,32.328512195122,32.777439024390205,33.2199024390244,33.657878048780496,34.0928780487805,34.5253902439024,34.957414634146296,35.38941463414629,35.82241463414629,36.2603902439024,36.7028292682927,37.152756097561,37.6101463414634,38.078536585365896,38.5609024390244,39.059292682926795,39.5757073170732,40.1101463414634,40.667609756097605,41.2505853658537,41.8675365853659,42.5269268292683,43.23073170731711,43.975926829268296,44.7590243902439,45.5770243902439,46.42695121951221,47.2963414634146,48.16973170731711,49.031121951219504,49.861048780487785,50.6409756097561,51.3629268292683,52.0218780487805,52.61434146341461,53.1393902439024,53.602048780487785,54.0178292682927,54.4027317073171,54.767268292682886,55.1258780487805,55.487536585365895,55.8571951219512,56.2352926829268,56.6263170731707,57.02724390243901,57.432560975609796,57.8338292682927,58.2250243902439,58.6036829268293,58.970829268292704,59.327951219512215,59.67960975609761,60.028268292682895
AGO,Angola,32.9848292682927,33.3862195121951,33.7875853658537,34.18846341463411,34.5903414634146,34.9922195121951,35.3950975609756,35.7999756097561,36.20585365853661,36.610243902438995,37.0151219512195,37.4210243902439,37.826926829268295,38.226829268292704,38.6137804878049,38.9758048780488,39.301,39.5813658536585,39.81585365853661,40.0053902439024,40.159243902439,40.288658536585395,40.408,40.528243902439,40.65395121951221,40.7777804878049,40.887487804878,40.9738780487805,41.0377073170732,41.0876585365854,41.138341463414605,41.2063414634146,41.313024390243896,41.4781951219512,41.716243902439,42.05146341463411,42.5016341463415,43.0621219512195,43.714268292682895,44.43899999999999,45.204780487804896,45.97314634146339,46.711731707317114,47.393170731707286,48.003512195122006,48.5388048780488,49.007048780487786,49.4357317073171,49.847390243902396,50.2510243902439,50.654170731707296,51.0593170731707,51.464,51.8661707317073
ALB,Albania,62.254365853658506,63.2734634146342,64.1628536585366,64.8870975609756,65.4381951219512,65.8273902439024,66.0893170731707,66.2872195121951,66.4749512195122,66.6816097560976,66.9325853658537,67.23887804878049,67.58595121951221,67.95795121951221,68.3483414634146,68.7412195121951,69.11551219512201,69.4561707317073,69.754243902439,70.00965853658539,70.2359756097561,70.45446341463409,70.6851219512195,70.93739024390241,71.20653658536591,71.47121951219509,71.6975609756098,71.8619512195122,71.9532926829268,71.9785853658537,71.9573170731707,71.9184146341463,71.9008048780488,71.9358536585366,72.0419512195122,72.2360243902439,72.5274146341463,72.89809756097559,73.3265853658537,73.79339024390251,74.2720731707317,74.7342195121951,75.1579512195122,75.5293658536585,75.839,76.0893902439024,76.2905365853659,76.4648536585366,76.6323170731707,76.8018780487805,76.97851219512201,77.16321951219508,77.35046341463409,77.537243902439
ARB,Arab World,46.847058559012794,47.4276465406613,48.007154690017,48.589479845161286,49.1747733453265,49.7578897672416,50.32903465552871,50.8827230832575,51.41888997174461,51.944116310435895,52.469320046114795,53.009937365022495,53.5755871291971,54.1675975384464,54.7805707521736,55.4057609463175,56.0319112833102,56.6498717078627,57.25913850138389,57.8670250059818,58.48573829057771,59.126773222687596,59.793190206143706,60.47977331393889,61.170902773689,61.8489042715517,62.493700232881295,63.0903782901048,63.629588759971895,64.1086697466033,64.6227612275574,65.0000988129939,65.2926919177049,65.6306783529213,65.9749520627021,66.3646660369609,66.69359852968199,67.012804396401,67.3037789446555,67.582924194911,67.82694852075521,68.0550643114689,68.2642500800734,68.4619267517034,68.6645737642581,68.8699440450817,69.0909483803984,69.3175883583852,69.54373862850319,69.77380635757861,70.0030169216615,70.2193474619285,70.4289908434045,70.6313051672398
ARE,United Arab Emirates,52.243219512195104,53.286560975609795,54.327,55.363512195122006,56.3925853658537,57.4057073170732,58.391853658536604,59.3404634146342,60.244048780487795,61.0985853658537,61.9010487804878,62.65495121951221,63.3663170731707,64.0431219512195,64.6889024390244,65.3051463414634,65.8933414634146,66.454,66.9886097560976,67.4971707317073,67.9831951219512,68.4451707317073,68.8840975609756,69.30148780487811,69.6983170731707,70.07663414634149,70.43639024390241,70.7781219512195,71.1048292682927,71.418,71.7201463414634,72.0122926829268,72.2964146341463,72.5730243902439,72.8455853658537,73.1150731707317,73.38392682926829,73.6526585365854,73.92021951219509,74.1871707317073,74.4515365853659,74.7128780487805,74.96826829268291,75.21721951219509,75.45726829268291,75.68639024390251,75.9045365853659,76.11117073170729,76.307756097561,76.4947804878049,76.67524390243901,76.85119512195119,77.0241463414634,77.19563414634149
ARG,Argentina,65.2155365853659,65.33851219512201,65.4326097560976,65.5093902439024,65.5824146341463,65.6686829268293,65.782243902439,65.9300243902439,66.11348780487799,66.3350975609756,66.59082926829271,66.8731219512195,67.1679512195122,67.4653170731707,67.7586585365854,68.0479512195122,68.3367073170732,68.6294390243903,68.9266341463415,69.2243170731707,69.5144878048781,69.78665853658539,70.0353170731707,70.257,70.4541951219512,70.6313902439024,70.7990731707317,70.967756097561,71.14590243902441,71.33753658536591,71.54365853658541,71.7632926829268,71.9889512195122,72.21565853658541,72.4413902439024,72.6651219512195,72.88734146341459,73.10804878048779,73.3276829268293,73.5442682926829,73.7558048780488,73.9603170731707,74.1557804878049,74.34126829268291,74.5187804878049,74.6878048780488,74.8499024390244,75.00904878048779,75.1662682926829,75.3245609756098,75.48497560975609,75.64904878048779,75.816243902439,75.9860975609756
ARM,Armenia,65.8634634146342,66.2843902439024,66.7098536585366,67.1378536585366,67.5654146341463,67.99153658536589,68.4147317073171,68.8304878048781,69.22926829268289,69.6000487804878,69.9242682926829,70.1828780487805,70.3673414634146,70.4796585365854,70.5263414634146,70.53192682926829,70.5294146341464,70.54290243902442,70.5829756097561,70.64126829268291,70.6845365853659,70.66160975609759,70.53551219512201,70.2901463414634,69.9356829268293,69.5,69.0242926829268,68.5675609756098,68.1820975609756,67.899512195122,67.7478048780488,67.7382926829268,67.85334146341471,68.0695609756098,68.3766585365854,68.76356097560979,69.2168536585366,69.71641463414639,70.2402195121951,70.76709756097559,71.2765853658537,71.7558292682927,72.2016097560976,72.6095853658537,72.973756097561,73.28739024390241,73.5482682926829,73.7646585365854,73.945,74.0958292682927,74.2263414634146,74.3428292682927,74.45209756097559,74.5613658536585
ATG,Antigua and Barbuda,61.78273170731711,62.195414634146395,62.5985365853659,62.9925853658537,63.3785853658537,63.7560731707317,64.1255609756098,64.48807317073171,64.8421219512195,65.1891951219512,65.5293414634146,65.8620243902439,66.18826829268289,66.508,66.8217804878049,67.1300731707317,67.43339024390251,67.730756097561,68.0226341463415,68.30953658536589,68.5919756097561,68.86895121951221,69.1409268292683,69.40792682926829,69.6704634146342,69.92851219512201,70.1825609756098,70.4326341463415,70.67973170731709,70.9228292682927,71.16295121951221,71.4005853658537,71.63470731707321,71.8658536585366,72.093,72.3176829268293,72.5388536585366,72.75756097560979,72.9737804878049,73.1860243902439,73.3972926829268,73.60709756097559,73.8154390243902,74.0217804878049,74.2261463414634,74.4254390243903,74.6181463414634,74.80321951219508,74.9791707317073,75.1470243902439,75.30878048780491,75.4660243902439,75.6218048780488,75.77865853658541
AUS,Australia,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.1975609756098
