CountryCode,CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,Aruba,2.48487308146399,2.58320555605665,2.68736883292427,2.8026174224385696,2.93184169457645,3.08054393305439,3.23156362628223,3.3919619631690496,3.57283548856727,3.77528778693549,4.00914247016,4.36421144722232,4.740262995204599,5.11960689918492,5.490293267244941,5.8544225537878205,6.04730231560184,6.24026770036113,6.44195255049412,6.649104671712968,6.8490415335463295,6.987303316987799,7.102569118414191,7.1956787344865285,7.262338654485839,7.317382750523571,7.37820062575825,7.44885582598851,7.52983938307383,7.60584611351422,7.6543090686747695,7.393652414774929,7.16934124716055,7.01122789594196,6.92568448500651,6.90809949455966,6.98359276398823,7.08860463211114,7.22649983958934,7.38843198058513,7.57885931893724,7.7550756776541,7.955155534501821,8.16780910168531,8.38346397682851,8.58833761533924,8.916988991371609,9.230571637455787,9.548854374296921,9.89587441823776,10.299516718013301,10.5968450792654,10.9411776195638,11.3319924991012,11.753560000386699
AFG,Afghanistan,2.79898603558747,2.8084511145457,2.80381413416337,2.78500202747612,2.751894020184729,2.7050660882073903,2.71444788621676,2.71149431938738,2.69539302193722,2.6656411211197595,2.6225380463815697,2.62582756708442,2.61736555483635,2.5983251090412502,2.57063568318856,2.53636785130105,2.54316747849274,2.53348160176782,2.5076636142794504,2.46743292827019,2.41487435256732,2.43321438466629,2.4266675276965697,2.39103126085433,2.31988052895654,2.20430801845286,2.2385885276698,2.26349919897209,2.27263776828079,2.25663403871919,2.20707234347926,2.22128151072915,2.23861692770721,2.25891540356079,2.28497009477083,2.3215948084611298,2.31721561852898,2.30283911671924,2.28312917173559,2.26101220584481,2.23688631677896,2.21660149743122,2.2007225830928503,2.18880323989904,2.18037987476516,2.1760456210808403,2.19700785610009,2.21328577395135,2.22868473102436,2.2484377441326298,2.27524958956208,2.30968149825366,2.35081115180802,2.39441375376844,2.43468454325801
AGO,Angola,2.62747294361207,2.65459998692077,2.66541405311655,2.6622549681915,2.64888669557394,2.6269964137189303,2.65074098228246,2.66510991171812,2.66964211237084,2.66315813498965,2.64478368327157,2.66465454370348,2.6758871566737,2.67816654728775,2.67163064403404,2.6565657389958,2.66911139764488,2.67399604336304,2.67185805516786,2.6632483670699503,2.64865226894953,2.64795627180673,2.64252863266365,2.6329289473641,2.62017097448596,2.60586509740325,2.6074403663318,2.6011811335958,2.5883877178967203,2.5695888140384904,2.54475474641598,2.53827239181278,2.527012683211049,2.51127112043927,2.49170592236239,2.46944144701705,2.46811631566116,2.46094948886629,2.44875318145071,2.4320463871242697,2.41068946607256,2.4126456494853703,2.41147318981065,2.40715650189813,2.39996530889538,2.39065140723395,2.38877538654304,2.38481660696124,2.37792073086869,2.36665478725911,2.3512067933794905,2.3411725008176,2.32705441047444,2.31408361289279,2.3085933172535498
ALB,Albania,5.41039598937443,5.391301149948901,5.405707149619171,5.43514137968974,5.456021818229151,5.4577625420265,5.40326298679629,5.3364320218942805,5.26999771124278,5.2196144417874,5.19333656343666,5.18074149425078,5.1772484495364015,5.18087822241033,5.1882006405008,5.19685189585892,5.2171009009316105,5.2385171746425305,5.260464763623,5.28155687300336,5.30130592318121,5.32901161066914,5.35430896437454,5.3758504478262985,5.39104422058251,5.39982654706301,5.41285227275344,5.415405454587389,5.42034816944547,5.44574585105569,5.5025929062522,5.6567396482546695,5.83682778536037,6.03833117581607,6.24453533904301,6.44523963644054,6.57984355928815,6.69891488068926,6.81247014887374,6.93535581637773,7.07448674152336,7.3389300510580195,7.6261113914582594,7.932160106767792,8.25244751684892,8.58219463417356,9.021906481081151,9.48151169321345,9.96049225983868,10.453922097992901,10.954817957857001,11.234091357964802,11.5016070930795,11.769681831219401,12.062251961811599
ARB,Arab World,3.53546477371962,3.56840046373976,3.59472775065435,3.6146282569972894,3.6280456658986,3.6351729887021103,3.65518354266092,3.6682003359852,3.67603016460732,3.68064425935897,3.68343676850036,3.70081879098806,3.7147605184459502,3.72323301052327,3.72328401475542,3.7139454367535096,3.71035736246005,3.69730911436326,3.67841027948338,3.6580824646702896,3.63923406966422,3.63193751772832,3.62361444501109,3.61512692932854,3.6072791514000295,3.60166939200341,3.61115127283534,3.62194865510262,3.6357934595303,3.65418630258664,3.66528390244871,3.7058549580573295,3.76522147448069,3.80688580168248,3.85071471109632,3.88253495237046,3.92653052626938,3.96653111398023,4.00347826297546,4.0368931615370895,4.06637170489976,4.0931677193995695,4.11551486405091,4.133026763637,4.14438793355504,4.14978235577056,4.15458147473669,4.15229596603762,4.14778250303054,4.14679246008413,4.15313636102589,4.17197866257664,4.19327911651043,4.22133374219292,4.26227212098414
ARE,United Arab Emirates,3.4034466375847594,3.1539337525375,2.9232002851033503,2.70173140812675,2.48227463464044,2.25721470482577,2.06298850860147,1.8797189444699904,1.70739077879468,1.55129639538843,1.41780711367093,1.21674662014828,1.17289836423724,1.24287203224466,1.37847716993991,1.54066238129747,1.49103530096407,1.47098494983047,1.47160844772865,1.47168724785751,1.4551691648906395,1.41742627443948,1.35600447829348,1.2931130014783798,1.2469166852824098,1.22108982822547,1.1913616320459,1.17762383055594,1.17528675807236,1.17521174078641,1.17159768540038,1.14515547331942,1.1121270085299098,1.07657306884889,1.0436133800894498,1.01412990938612,1.01113332679561,1.02334291505151,1.04185794708406,1.05492429758393,1.05608682652007,1.01753802598928,0.98200974643936,0.950466628311898,0.92310130044555,0.8994247180261551,0.81570141097277,0.756227017853287,0.717593927777132,0.698689740978528,0.69688849916075,0.764202913384081,0.8477145373906171,0.941860699218512,1.03930833547671
ARG,Argentina,5.5789893581550185,5.72061986689401,5.85798867157073,5.99346170504876,6.130110851243651,6.26993946028586,6.42770251708333,6.5820023119455495,6.732494820898241,6.8785035596047,7.01974991763672,7.16871999613238,7.306575690141821,7.43369355994522,7.55012428588503,7.65598233013228,7.793247257361848,7.91349107264535,8.01992701595316,8.11775023812938,8.21114393499526,8.29038173003142,8.37335973328818,8.45737590816879,8.537197752728549,8.6114707924612,8.72464881987833,8.81442669910526,8.89123827684502,8.9691840878435,9.05347857942043,9.16011727448882,9.26963062917951,9.37622248270584,9.469952555859964,9.54715352427323,9.647802325051867,9.73401910729109,9.80614861748017,9.865028576960722,9.91159052404385,9.97282337112692,10.015269952635599,10.046592912066801,10.0763494267751,10.110252544795001,10.1577425980346,10.2108228784043,10.269972705566301,10.3344618758257,10.4049947996107,10.500552914641801,10.5980692726567,10.699831850371801,10.8089836893072
ARM,Armenia,6.37085010356668,6.12695742356554,5.9001982848609185,5.70254348499126,5.54825167564413,5.44435624702333,5.41283777085009,5.4266354114508,5.47056231951841,5.52302788260726,5.57189303718858,5.6520724989092885,5.70119358538646,5.73362349866056,5.7679843990320006,5.81183090616318,5.8793942482233605,5.955181113757111,6.015065739647058,6.0230298985339115,5.96612470763473,5.880221304974589,5.74983001224287,5.60355419774933,5.4807354206184105,5.4054224027873,5.34068636904164,5.3066859817636605,5.32386405233078,5.42309299069641,5.62144274754246,6.06270886058648,6.60797791678033,7.21666464372063,7.8186157024605,8.366103836188751,8.767120697668929,9.07471574285484,9.33549376509416,9.627903368651062,9.99441500238289,10.4102696831018,10.8661615772128,11.277952325435901,11.537642986640401,11.600916376802402,11.515738163276401,11.3017328304079,11.0233883434414,10.7584079878413,10.5477449606816,10.4455751783028,10.4016366169197,10.440773854084199,10.5795977185467
ATG,Antigua and Barbuda,4.13306267259194,4.12432539754166,4.10044218713928,4.0702133593641,4.03760683760684,4.01488609122761,4.04156664145484,4.06922357343311,4.09174370013929,4.10686239445162,4.110511098532951,4.1876450902951605,4.25712372591326,4.322368033896311,4.40900152938605,4.52110377889766,4.700352526439491,4.90152798940518,5.1086401543087305,5.28964041217241,5.4337776134052085,5.67455197132617,5.879622915155911,6.05226757703287,6.202234419634192,6.3427841323923095,6.6295178391765415,6.93245542183858,7.254789088234348,7.616957412816499,8.04283914321713,8.13785810421073,8.25109562695086,8.35234630326201,8.40120210368145,8.389296112598581,8.172823688518749,7.91200575922029,7.62606797294019,7.34603700635185,7.07938388625592,7.026541052524941,7.0061227039860094,7.04167902699496,7.131843657456138,7.2670017561921,7.275929409227589,7.294098131450172,7.30169888693614,7.28505214368482,7.23350108330562,7.2125419729558,7.1674768999315095,7.12452075345891,7.1155115511551115
AUS,Australia,8.60211606159464,8.62053999314525,8.63064271430201,8.63353438541408,8.62721935547429,8.61206942885609,8.53022244209435,8.44372336032806,8.35931487713248,8.28565972915499,8.22913405596075,8.32872834384401,8.424191487760089,8.523021002509559,8.636098037215671,8.769197348185099,8.92279563166188,9.1053984767575,9.298374929176882,9.47356875164675,9.61708551002043,9.77965593949101,9.89661965878667,9.99449415057356,10.111212006284,10.264876107296999,10.4004193674267,10.569239740804301,10.7543483457792,10.9327220619217,11.095727527654299,11.2934119474186,11.473301393109901,11.6331334433919,11.7733259261796,11.8956764692738,12.0014804834936,12.092996850694599,12.175705235532801,12.2592523717222,12.3539487705479,12.441947743608198,12.542496214971699,12.657140736210401,12.781972907824304,12.9131872586166,12.9793963261981,13.053178189935501,13.149898167311099,13.2932672322283,13.4957383439134,13.734007837951,14.034997899515,14.37815703296,14.724274080571101
