countrycode,countryname,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
KAZ,Kazakhstan,,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
KEN,Kenya,NF,NF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
KIR,Kiribati,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
KWT,Kuwait,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
KGZ,Kyrgyz Republic,,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,PF,PF,PF,PF,NF,PF,PF,PF,PF,PF,PF
LAO,Lao PDR,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
LVA,Latvia,,F,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LBN,Lebanon,NF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
LSO,Lesotho,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,PF,PF,PF,F,F,F,PF
LBR,Liberia,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
LBY,Libya,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,NF,NF
LIE,Liechtenstein,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LTU,Lithuania,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LUX,Luxembourg,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MKD,"Macedonia, FYR",,,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
MDG,Madagascar,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
MWI,Malawi,NF,NF,NF,NF,F,F,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
MYS,Malaysia,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
