countrycode,countryname,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
SMR,San Marino,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
STP,Sao Tome and Principe,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SAU,Saudi Arabia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
SEN,Senegal,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,PF,PF,PF,PF,F,F,F,F
SRB,Serbia,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F
SYC,Seychelles,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
SLE,Sierra Leone,PF,PF,NF,NF,NF,NF,PF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,PF,PF,PF
SGP,Singapore,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
SVK,Slovak Republic,,,,PF,F,F,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SVN,Slovenia,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SLB,Solomon Islands,F,F,F,F,F,F,F,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
SOM,Somalia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
ZAF,South Africa,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
KOR,"Korea, Rep.",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,NF,NF,NF,NF,NF
ESP,Spain,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
LKA,Sri Lanka,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
