CountryCode,CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ADO,Andorra,,,,,-0.2585556632647805,-0.25869116615595533,-0.25806694721797435,-0.2717261826110037,-0.2815605346741744,-0.28441126784261783,-0.27783692107286406,-0.28243587475220255,-0.2778668684623039,-0.2699894582950317,-0.2693493911546777,-0.264458441176123,-0.27191424059532415,-0.2601545171677315,-0.26511732501731,-0.2746159013497967,-0.2766158714630417,-0.27981040493500214,-0.28565140236940123,-0.2608268059362665,-0.23885995901547757
AFG,Afghanistan,9.464854406585964,9.385373279061577,7.88618147559707,5.276865300049702,3.435744527708558,3.5879713295483726,3.7979261227841534,4.648232480735783,5.1942919227975075,4.56296662316523,6.6238038724434585,7.166228627951087,4.999384669500254,4.711271313597613,5.355475878452238,5.180797221828385,4.96131898176979,6.734210649879686,6.546331355485343,7.5526568507801946,8.225948270393582,7.2528940983559895,7.1790309434409165,6.005489869108101,4.738059214466948
AGO,Angola,0.45502439995386246,0.4087090610379336,0.3128097376575313,0.3331695161480246,0.22042506518271338,0.19606703596880434,0.23398712927897483,0.37075675078011705,0.5731216171277164,0.5729060152812031,0.8130122742908076,0.930962935503757,0.9381472564429447,0.7608414209269876,0.4531921306684463,0.4686827431838519,0.4180317807556719,0.30848603176861317,0.28169620603162554,0.2274529199021304,0.21280460040933452,0.19221130969315903,-0.22031838089783734,-0.23273322825840462,-0.22085865771684904
ALB,Albania,-0.21037803007063047,-0.21955984667928113,-0.28203246490249123,-0.28043812281371194,-0.2256445865241926,-0.21559887778948575,-0.2108728588905455,-0.2156014794241602,-0.21770728067950962,-0.2142986533100833,-0.19551730354118907,-0.1829870525192954,-0.12472062534639511,-0.09743955774195426,-0.08200767858156134,-0.011824157228325055,0.015220941394546397,0.03957510171240652,0.05535772213505795,0.11631846821363316,0.11278761615409155,0.0945056007535935,0.07893823714820948,-0.0038334169905310067,-0.03182197594006994
ARB,Arab World,-0.036784390287415904,-0.0346368517587778,-0.03659387109190835,-0.12019250426043829,-0.08367193797968127,-0.06815344182003162,-0.05029008009383023,-0.038175899779399884,-0.028211925870188538,-0.05203766532683356,-0.05360685674990722,-0.021364554260433006,0.007921845175477324,0.04395833015610293,0.06458954745683522,0.0809055276828998,0.31062494603039276,0.4046625501132556,0.36136135893483123,0.368862395386857,0.38799721696950984,0.43848951327115854,0.4888370792285265,0.6932032268552515,0.7286589887571238
ARE,United Arab Emirates,,,,,,,,-0.2721918953794132,-0.282653222212269,-0.2859842791562787,-0.2788098501536108,-0.28280368115648286,-0.28381947159690013,-0.2767280418363807,-0.27046877668451447,-0.2708523206046987,-0.2762163776710915,-0.26340055237651316,-0.26722217604032233,-0.2758314407704053,-0.2781867676223732,-0.2812157423076187,-0.28762875359409756,-0.2650355048858828,-0.24410219389538132
ARG,Argentina,-0.22041154203432792,-0.24059807869305444,-0.31514928471238607,-0.3164870357038708,-0.2589490658978106,-0.259218454970821,-0.2591420751567017,-0.2720958932779166,-0.28260161474014467,-0.2855030149889747,-0.27837326574829174,-0.28232222952725067,-0.28331226346772986,-0.27594230859985724,-0.2703211330923672,-0.26992045827824046,-0.278010269288838,-0.264701042092921,-0.2679352797334658,-0.27869720071456516,-0.2810988951354543,-0.2847374215743841,-0.2923195973075187,-0.2650983196896397,-0.24425450215888914
ARM,Armenia,-0.22059449577749005,-0.2407089676347398,1.0847482721029353,1.1426892575206595,1.057994647875266,1.2459122725358909,1.4392434702210914,1.8799029631204414,2.075918233187473,1.9301474460306107,-0.2076879202893572,-0.188479444148079,-0.08759823536918712,-0.04917984791284596,-0.02848261693439804,0.013200295196950365,0.03175770628349969,0.03962495551678877,0.08086276199447856,0.1681258940386181,0.17898866792706355,0.16704100727253582,0.16630930386701248,0.03658775037242851,-0.005164031315516858
ATG,Antigua and Barbuda,,,,,,,,-0.2717840296083242,-0.28172600217754024,-0.2851371174361993,-0.27850805014813246,-0.2809948785038675,-0.28140700499755006,-0.27376959504326226,-0.2627340997407558,-0.26159378555815493,-0.26517015819721634,-0.24888651071910256,-0.2501478665095378,-0.2558493863993463,-0.25536727409777016,-0.2561616165530206,-0.24983739873791336,-0.22480055216206477,-0.20927313736688918
AUS,Australia,,,,,-0.2592380430694069,-0.25944425689557765,-0.2593031184048488,-0.27223941136420465,-0.2827485283753256,-0.2860647747637721,-0.2789903504922008,-0.2830261733876243,-0.2842095302070682,-0.27697834330701393,-0.27141141580808403,-0.2711308944789995,-0.279337780949867,-0.2662576117511293,-0.2694608891994644,-0.2797018820879504,-0.28202042930299404,-0.2856087426689759,-0.29305025882468594,-0.2656936954026149,-0.24463943581920025
AUT,Austria,,,,,-0.2590781238469463,-0.2592970999855921,-0.2591312822321224,-0.27201415943836016,-0.2824646241431248,-0.28585729182855757,-0.27883066854808886,-0.2828834821307217,-0.28382964150163925,-0.2765908237777714,-0.27113179880424954,-0.27077075900183273,-0.2791680194921709,-0.2662725564380268,-0.26948266650485986,-0.279690998031861,-0.28205810128195963,-0.28564419345155484,-0.29310938769839395,-0.2656960612096542,-0.24463290534878698
