Country Name,Country Code,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
"Gambia, The",GMB,45.55335968,46.71936759,46.8972332,47.07509881,47.25296443,47.43083004,47.58893281,47.74703557,47.90513834
Georgia,GEO,39.72657936,40.04144481,40.1850626,40.32868039,40.47229817,40.61591596,40.61591596,40.61591596,40.61591596
Germany,DEU,32.53761284,32.65944024,32.67846388,32.69655509,32.71277359,32.73087185,32.73754877,32.74516555,32.75090377
Ghana,GHA,39.15355542,39.9112244,40.03603762,40.16085084,40.28566406,40.41047728,40.5352905,40.66010372,40.78491694
Greece,GRC,27.93638479,29.34212568,29.57641583,29.81070597,30.04499612,30.27928627,30.51357642,30.74786656,30.98215671
Greenland,GRL,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997
Grenada,GRD,49.97058824,49.97058824,49.97058824,49.97058824,49.97058824,49.97058824,49.97058824,49.97058824,49.97058824
Guam,GUM,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963,46.2962963
Guatemala,GTM,39.26838373,36.34565136,35.94251586,35.53938037,35.13624487,34.73310937,34.39343038,34.0537514,33.71407242
Guinea,GIN,28.097021,27.21797168,27.07146345,26.92495523,26.77844701,26.63193879,26.48543057,26.33892235,26.19241413
Guinea-Bissau,GNB,75.39118065,73.32859175,72.97297297,72.6173542,72.26173542,71.90611664,71.55049787,71.19487909,70.83926031
Guyana,GUY,84.43992888,84.31191262,84.28549657,84.25908052,84.23266447,84.20624841,84.15544831,84.10464821,84.05384811
Haiti,HTI,3.955007257,3.7808418,3.751814224,3.722786647,3.693759071,3.664731495,3.635703919,3.606676343,3.577648766
Honduras,HND,57.12753597,50.69264456,49.62016266,48.54768076,47.47519886,46.40271695,45.33023505,44.25775315,43.18527125
Hungary,HUN,21.39031466,22.26983596,22.41044526,22.55105457,22.46106263,22.60024301,22.6510549,22.70186678,22.75267867
Iceland,ISL,0.287281796,0.376458853,0.38882793,0.401197007,0.413566085,0.425935162,0.438902743,0.451870324,0.464837905
India,IND,21.99321268,22.91316734,23.05315167,23.19313599,23.33312032,23.47310465,23.53310754,23.59311043,23.65311332
Indonesia,IDN,54.87450112,53.63966063,53.26153557,52.88341052,52.50528547,52.12716042,51.74936657,51.37157272,50.99377888
"Iran, Islamic Rep.",IRN,5.726357803,6.565337263,6.565337263,6.565337263,6.565337263,6.565337263,6.565337263,6.565337263,6.565337263
Iraq,IRQ,1.870270023,1.886274779,1.886274779,1.886274779,1.89952109,1.89952109,1.89952109,1.89952109,1.89952109
Ireland,IRL,9.21686747,10.17564233,10.26491508,10.35447815,10.44389607,10.53316882,10.6156191,10.69806939,10.78037451
Isle of Man,IMY,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439
Israel,ISR,7.070240296,7.153419593,7.144177449,7.134935305,7.125693161,7.116451017,7.218114603,7.319778189,7.421441774
Italy,ITA,28.45533984,29.96124295,30.14414904,30.32705514,30.50996124,30.69286734,30.87577344,31.05867954,31.24158564
Jamaica,JAM,31.47737765,31.28162512,31.24284395,31.20406279,31.16528163,31.12650046,31.09141274,31.05632502,31.0212373
Japan,JPN,68.24691358,68.42578875,68.44279835,68.45980796,68.47681756,68.48443286,68.47910466,68.47377661,68.46938776
Jordan,JOR,1.10494107,1.10494107,1.10494107,1.10494107,1.09822032,1.09822032,1.09822032,1.09822032,1.09822032
Kazakhstan,KAZ,1.246434789,1.233988962,1.231914657,1.229840353,1.227766048,1.225691744,1.225691744,1.225691744,1.225691744
Kenya,KEN,6.24978037,7.175036019,7.239343571,7.303651123,7.367958674,7.432266226,7.496573778,7.56088133,7.625188881
Kiribati,KIR,15,15,15,15,15,15,15,15,15
"Korea, Dem. Rep.",PRK,57.57827423,51.26152313,50.21011544,49.15870775,48.10730006,47.05589237,46.00116269,44.94643302,43.89170335
"Korea, Rep.",KOR,65.18764255,64.49628406,64.4015683,64.26053798,64.14624099,63.99259488,63.9144297,63.75757576,63.60371822
Kuwait,KWT,0.272166105,0.319304153,0.327160494,0.335016835,0.342873176,0.350729517,0.350729517,0.350729517,0.350729517
Kyrgyz Republic,KGZ,4.474973931,4.331803962,4.131282586,3.93076121,3.730239833,3.529718457,3.488008342,3.446298227,3.404588113
